review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,company_name,review_advice,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,review_pros_cleaned,summary_cleaned,sentiment_polarity,sentiment_label
18,2025-04-23T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,5,5,3,3,Good environment,Amazon Fulfillment Center,,,"Ottawa, ON",Associate,,nice to start for students,not for long term job,5,5,5,nice start students,good environment,0.7,positive
19,2025-04-21T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,,,,0,0,4,0,Good place,Amazon Fulfillment Center,,,"Durham, NC",Warehouse Associate,,flexible schedule if you are felx,work can feel repetitive and boring,0,0,0,flexible schedule felx,good place,0.7,positive
20,2025-04-19T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,NEUTRAL,NO_OPINION,POSITIVE,5,5,4,5,Great,Amazon Fulfillment Center,,,"Reno, NV",Production,,"Nice place to work
Nice hours for night shift 6:30pm-5am
UPT PTO and Vacation",There is favoritism- like any other job.,4,5,5,nice place work nice hours night shift 630pm5am upt pto vacation,great,0.8,positive
21,2025-04-16T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,NEGATIVE,NO_OPINION,NEGATIVE,3,4,3,1,Okay for the most part,Amazon Fulfillment Center,,,"Chicago, IL",Driver,Get better with scheduling,During peak season good pay and great hours,When peak season over it leave you struggling,3,4,2,peak season good pay great hours,okay part,0.5,positive
22,2025-04-15T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,,,NEGATIVE,5,5,4,2,good company to work,Amazon Fulfillment Center,,,"Cambridge, ON",Process Assistant,,Good pay for a process assistant.,"bit stressful, to be honest, as we have a tight workload in our station.",4,3,4,good pay process assistant,good company work,0.7,positive
23,2025-04-11T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,1,1,Behandlung von Mitarbeitern,Amazon Fulfillment Center,,,Winsen (Luhe),Area Manager,"Das Management gibt vor, sich um Sie zu kümmern und Sie kennen zu lernen und Ihnen zu helfen. In Wirklichkeit geht es aber darum, Sie auszubeuten und in der Schwebe zu halten.","Die Bezahlung und die berufliche Entwicklung, die man durch die Begegnung mit vielen Menschen und das Erlernen neuer Prozesse erfährt.","In dieser FC werden Mitarbeiter und Neueinstellungen wie Nummern behandelt, und sie versuchen, dich loszuwerden, wenn du ihren toxischen Standards nicht mit den niedrigsten Manieren gerecht wirst.",4,1,2,die bezahlung und die berufliche entwicklung die man durch die begegnung mit vielen menschen und das erlernen neuer prozesse erfährt,behandlung von mitarbeitern,0.0,neutral
24,2025-04-09T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,POSITIVE,APPROVE,POSITIVE,5,5,4,4,Good Benefits and Management,Amazon Fulfillment Center,,,"Barrhaven, ON",Fulfillment Associate,,"Wage increase 3, 6, 12 month and so on.

Great Full-time benefits 

Work Perks and Discount through Venngo",Warehouse (repetitive work and corporation like layout) dull.. but great people and management,5,4,4,wage increase 3 6 12 month great fulltime benefits work perks discount venngo,good benefits management,0.7,positive
25,2025-04-08T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,,,,4,2,4,3,Its pretty good at working at Amazon,Amazon Fulfillment Center,,,"Hamilton, ON",Associate,,Good wages as a Warehouse associate,working environment gets a little bit noisy,5,5,3,good wages warehouse associate,pretty good working amazon,0.475,positive
26,2025-04-02T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,1,1,Avoid working here at all cost,Amazon Fulfillment Center,,,"Saint Peters, MO",Picker,,"Always hours available, anytime pay","Long hours, minimal light, will write you up for bathroom breaks, mandatory overtime with little to no heads up. This place drains you emotionally and physically.",1,1,1,always hours available anytime pay,avoid working cost,0.0,neutral
27,2025-04-01T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,,,,0,0,4,0,Ok,Amazon Fulfillment Center,,,"Corona, CA",Warehouse,,Easy starter job to work at,Can be fast paced and employment depends on management,0,0,0,easy starter job work,ok,0.5,positive
28,2025-03-31T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,3,3,3,5,Amazon Fulfillment Center,Amazon Fulfillment Center,,,Illescas,Mozo de almac%C3%A9n,,"Seguridad, compañerismo, comodidad, rotativos, adaptabilidad","Trabajo cansado, fines de semana, no posibilidad de cobrar más",3,3,2,seguridad compañerismo comodidad rotativos adaptabilidad,amazon fulfillment center,-0.1,neutral
29,2025-03-31T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,4,0,fun,Amazon Fulfillment Center,,,"San Bernardino, CA",Inbound Stower,,benefits and not bad pay,no cons it was easy work people just complain,0,0,0,benefits bad pay,fun,0.3,positive
30,2025-03-31T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,,,,0,0,5,0,Fulfillment Center,Amazon Fulfillment Center,,,"Aurora, CO",Warehouse Associate,,"Flexible Schedule
4 day/10 hour shifts
Low Stress Environment
Frequent Overtime Opportunity","Monotonous Work
Not Particularly Rewarding Work
Work Can Become Slow from January to May",0,0,0,flexible schedule 4 day10 hour shifts low stress environment frequent overtime opportunity,fulfillment center,-0.1,neutral
31,2025-03-31T00:00:00.000Z,0,0,0,,Former employee,False,False,,,,0,0,4,0,Buen trabajo,Amazon Fulfillment Center,,,Coslada,Mozo De Almacen,,"Buen sueldo, ambiente laboral agradable, respeto por las normas de seguridad","Descanso muy corto, muchos jefes por lo que las ordenes pueden variar de uno a otro y puede confundir al empleado.",0,0,0,buen sueldo ambiente laboral agradable respeto por las normas de seguridad,buen trabajo,0.0,neutral
32,2025-03-27T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,NEGATIVE,APPROVE,NEGATIVE,3,4,3,3,Amazon Warehouse Associate,Amazon Fulfillment Center,,,"Ottawa, ON",Process Associate,"Try to focus more on employee engagement and break the barriers of community, race or personal biases
Give opportunities to employees to grow rather than nurturing a neo slavery attitude
There are many associates who are skilled and experienced but working in warehouse due to personal situation. Leadership should give them opportunity to optimize their skills and experience rather than taking their advantage and utilizing them for only labor works.","Best in class work environment
Experience working in robotic environment
Competitive work benefits and accommodations","Too much physical work with not much of Job security
Pressure for target work negatively impact physical and mental health
Biased leadership - does not justify experience skills or ability but personal connections and nepotism works more for training promotion and preferred job roles",3,2,3,best class work environment experience working robotic environment competitive work benefits accommodations,amazon warehouse associate,0.0,neutral
33,2025-03-26T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,NEUTRAL,APPROVE,POSITIVE,0,0,4,0,Hard work but decent pay,Amazon Fulfillment Center,,,"Edgemere, MD",Order Picker,,"Good benefits, decent time off opportunities. Automatic hire without an interview.",Management will move you around the building a lot. I was a top performer in order picking and was moved to pack nearly every day.,0,0,0,good benefits decent time opportunities automatic hire without interview,hard work decent pay,-0.06250000000000001,neutral
34,2025-03-26T00:00:00.000Z,0,0,1,PART_TIME,"Former employee, less than 1 year",False,False,,,POSITIVE,3,4,4,3,amzn,Amazon Fulfillment Center,,,"San Antonio, TX",Fulfullment Associate,,They pay for you if you want to go to college.,it's just a lot of work you have to do,2,1,3,pay want go college,amzn,0.0,neutral
35,2025-03-24T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,NEGATIVE,,NEGATIVE,4,3,3,4,Salary,Amazon Fulfillment Center,,,"Ajax, ON",Warehouse Associate,,"Good pay and benefits
Good people 
Safety first","Biased management 
Work like robots
No growth/opportunities",4,1,1,good pay benefits good people safety first,salary,0.0,neutral
36,2025-03-20T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,3,0,Amazon Warehouse,Amazon Fulfillment Center,,,"Grand Rapids, MI",Warehouse Team Member,,It was close to home,Gloves were not strong enough,0,0,0,close home,amazon warehouse,0.0,neutral
37,2025-03-19T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,NEGATIVE,2,2,3,1,Good experience,Amazon Fulfillment Center,,,"Tracy, CA",,,Good experience for fresh college graduate,very loud noise in Fulfillment center,3,1,4,good experience fresh college graduate,good experience,0.7,positive
38,2025-03-19T00:00:00.000Z,0,0,1,PART_TIME,"Former employee, less than 1 year",False,False,,,,0,0,4,0,Good place to work seasonally,Amazon Fulfillment Center,,,"West Jefferson, OH",Associate,,#NAME?,#NAME?,0,0,0,name,good place work seasonally,0.7,positive
39,2025-03-18T00:00:00.000Z,0,0,1,CONTRACT,"Former employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,4,5,5,4,Inbound Receiving,Amazon Fulfillment Center,,,"Brampton, ON",Warehouse Associate,,"Good work culture and pay also
events for extracurriculam activity",Quiet racist because most employee is belong from one group or race,5,5,5,good work culture pay also events extracurriculam activity,inbound receiving,0.0,neutral
40,2025-03-18T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,,,,5,5,5,5,Satisfied,Amazon Fulfillment Center,,,"London, ON",Associate,,Work life balance and benefits,Mandatory extra time is required,5,5,5,work life balance benefits,satisfied,0.5,positive
41,2025-03-13T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,POSITIVE,3,2,4,4,Easy money,Amazon Fulfillment Center,,,,AA(Amazon Associate),,The pay and benefits are really good,Toxic work environment and favoritism,5,4,4,pay benefits really good,easy money,0.43333333333333335,positive
42,2025-03-12T00:00:00.000Z,0,0,0,PART_TIME,Former employee,False,False,,,,0,0,4,0,Good salary and benefits,Amazon Fulfillment Center,,,"Mississauga, ON",Warehouse Worker,,"Attractive pay , Employee Benefits",Contractual basis hiring based on business need,0,0,0,attractive pay employee benefits,good salary benefits,0.7,positive
43,2025-03-08T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,POSITIVE,APPROVE,POSITIVE,5,5,4,1,Muy buena opción de trabajo.,Amazon Fulfillment Center,,,,Mozo De Almacen,Tener coche propio ya que no hay manera de trasladarse en transporte público.,"Muy Buenos beneficios.
Exelente ambiente de trabajo.
Ambiente de trabajo muy seguro.
Posibilidad de hacer carrera dentro de la empresa.","Salario no esta mal, pero se podría mejorar mucho más para el trabajo que se hace allí.
Horarios rotativos (no te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria).
Trabajo fines de semana.
Trabajo muy repetitivo..",3,3,3,muy buenos beneficios exelente ambiente de trabajo ambiente de trabajo muy seguro posibilidad de hacer carrera dentro de la empresa,muy buena opción de trabajo,0.0,neutral
44,2025-03-07T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,2,1,culture terrible,Amazon Fulfillment Center,,,"San Antonio, TX",Pathways Operations Manager,,Pay is comparable for ops,"poor work life balance, lack of leadership, very stressful job. No clear way for promotion or anyone to help you get there.",4,1,3,pay comparable ops,culture terrible,-1.0,negative
45,2025-03-05T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,4,0,Easy work,Amazon Fulfillment Center,,,"Bolton, ON",Warehouse Associate,,"Career Choice program is a great way to start new career.
Good benefits",Co-workers speak in non English to each other infront of you.,0,0,0,career choice program great way start new career good benefits,easy work,0.43333333333333335,positive
46,2025-03-03T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,,,,0,0,5,0,Cool place to work,Amazon Fulfillment Center,,,"Waukegan, IL",FC Associate,,Room to excel in your position,Extra shifts are never available,0,0,0,room excel position,cool place work,0.35,positive
47,2025-03-03T00:00:00.000Z,0,0,2,PART_TIME,Current employees,False,False,,,,4,4,5,5,Not bad,Amazon Fulfillment Center,,,"Kent, WA",Flex Associate,,Choose own hours and the work is not bad once you get use to it,Could be moved around a lot depending on different departments and sometimes hard to find shifts that you want to work in,4,5,4,choose hours work bad get use,bad,-0.6999999999999998,negative
48,2025-03-03T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,NEUTRAL,APPROVE,POSITIVE,5,5,3,2,"Review of Fulfillment Centre at St. Thomas, ON",Amazon Fulfillment Center,,,,FC Associate I,"- Provide everyone equal chance
- Make All managers more responsible towards all associates bcz sometimes associates don't know the actual information of them when they ask help from managers and what they say to HR or Safety team
- Hiring of positions specially PA(Process Assistant) and Learning needs to be evaluated based on your ground level performance not based on connections (if your relatives who are in higher position get  hired in PA / Learning ) 
- Safety team needs to be more responsible bcz mostly they don't took actions against managers who needs more productivity to get promoted so that Associates are presurised to maintain those productivity and compromise safety which ultimately creates critical health issues for associates
- Some associates got less work or promoted or learn new skills compared to others as they are favourite of Managers or relatives. Plz stop this to be fair with everyone","Pay and Benefits they provide like maternity, accommodation, insurance","Work-life balance, Continuous work without sitting, almost all location with no public transportation, lack of chance in promotion and new skills as they show they are giving fair chance to everyone but it's not true at ground level. The people of certain community especially punjabi's got promotions at HR, PA and Manager level. Lack of support from HR as they are not giving proper information when you actually need. Safety at ground level is compromised by managers bcz they want more productivity to get promotion. The people who always praised their managers got extra-benefits on work and able to learn new skills than other hard-working associates",5,3,3,pay benefits provide like maternity accommodation insurance,review fulfillment centre st thomas,0.0,neutral
49,2025-03-02T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,NEUTRAL,NO_OPINION,NEGATIVE,1,3,3,5,Too monotonous for me.,Amazon Fulfillment Center,,,"Bessemer, AL",Inbound Stower,"I understood the safety risk thing but the rule against having SOMETHING to distract you from the noise in your head for 10-11 hrs day after day when you're someone like me was kinda rough. Almost torturous. Just let people listen to music, man. lol",I got plenty of time off for mental stuff when I needed it when other places would have fired me,Then again.. this company might've contributed alot to why I needed so much time off lmao,4,1,1,got plenty time mental stuff needed places would fired,monotonous,0.0,neutral
50,2025-03-01T00:00:00.000Z,0,0,4,PART_TIME,Current employees,False,False,,,,0,0,5,0,It was alright.,Amazon Fulfillment Center,,,"Hawthorne, CA",Warehouse Associate,,Great experience because I got to see the warehouse built from ground up.,Became repetitive at some point.,0,0,0,great experience got see warehouse built ground,alright,0.0,neutral
51,2025-03-01T00:00:00.000Z,0,0,6,REGULAR,Current employees,False,False,,,NEGATIVE,1,1,1,4,Workplace toxicity and favoritism,Amazon Fulfillment Center,,,Sydney,IT Support Engineer,Apply practices that you preach and ensure it is followed by all and not just by the employees in the lower tier of the Organization's hierarchy. Train the Leaders and make sure they are doing due deligence for their role. Training future leaders won't make a bigger impact if the current leaders are exercising bias and have toxic traits while moving up the ladder.,A bit of learning if you are at the right place and the right team or assigned the right team member as a mentor.,"Don't bother joining IT though, there are no financial perks in it since they don't have casual/contract roles. The contract is cleverly worded to get you to work on weekends/night shifts without offering weekend/night shift allowances. No on-call pay either but they do reimburse *mobile bills*.
I have seen this culture in all departments and more so in IT.
Excessive flattery towards leadership, playing office politics, Seeking favoritism from leadership, appeasing leadership for personal gain, unhealthy admiration of authority, prioritizing leadership approval over team collaboration, performing for leadership rather than contributing meaningfully, Dysfunctional work environment, Hostile workplace dynamics, Unhealthy team culture, Negative organizational climate, Counterproductive work atmosphere, Culture of fear and favoritism, Lack of psychological safety in the workplace, Unprofessional and unsupportive work environment, Workplace toxicity and favoritism.",1,1,2,bit learning right place right team assigned right team member mentor,workplace toxicity favoritism,0.0,neutral
52,2025-03-01T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,POSITIVE,APPROVE,POSITIVE,5,5,4,4,Pros and cons,Amazon Fulfillment Center,,,"Whitestown, IN",Warehouse Associate,Better pay hire on opportunity insurance for employees,Good place to work for lots of hours and keep you busy no down time .,Cons low pay no insurance temp service position,1,5,1,good place work lots hours keep busy time,pros cons,0.0,neutral
53,2025-02-27T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,,DISAPPROVE,NEGATIVE,1,1,1,1,Promote Based On Results Not Being a ‘Yes Man’,Amazon Fulfillment Center,,,,Operations Manager,"Value honesty and ethics, treat people better and promote based on results only not politics. Set regional records but unable to get promoted since I wouldn’t lie about an HR situation(s) that AGM was apart of. So shady!","Stocks given as bonuses, but they take 3-4 years to fully vest so can be a negative.","The expectation is to work 7 days per week and always be available via phone. Even if you work 12 hours more is expected once you’re home. 
Upper management promotions should be based on achievements and how your team response to you, not being a ‘yes man’ The last GM/AGM were extremely unethical and only promoted people who would lie for them and they also fudged numbers",2,1,1,stocks given bonuses take 34 years fully vest negative,promote based results ‘yes man’,0.0,neutral
54,2025-02-26T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,3,0,Monotonous,Amazon Fulfillment Center,,,"Dallas, TX",Inbound Stower,,"Easy job, and can move up if desired","physically demanding
only care about rates",0,0,0,easy job move desired,monotonous,0.0,neutral
55,2025-02-26T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,5,5,5,5,Fast-paced work with good benefits,Amazon Fulfillment Center,,,"St. Thomas, ON",Inbound Receive Dock,Improve break times and workload balance to reduce fatigue and increase employee retention.,"Competitive pay and benefits
Opportunity for career growth
Fast-paced and active work environment
Team-oriented workplace culture
Training provided, no experience required",Repetitive tasks can be exhausting,5,5,5,competitive pay benefits opportunity career growth fastpaced active work environment teamoriented workplace culture training provided experience required,fastpaced work good benefits,0.7,positive
56,2025-02-25T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,3,0,Meh,Amazon Fulfillment Center,,,"Illiopolis, IL",Operations Manager,,insane scope and opportunities- perks of being a part of huge company,untalented people in Sr positions that have gone far playing politics. Hard to advance if you don't have an agreeable personanlity,0,0,0,insane scope opportunities perks part huge company,meh,0.0,neutral
57,2025-02-25T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,NEUTRAL,NO_OPINION,POSITIVE,4,5,4,2,Former Amazon Warehouse employee,Amazon Fulfillment Center,,,"Joliet, IL",Seasonal Warehouse Associate,,"Pay, peak time/bonus pay+hours, chill staff","The labor and the lack of available resources/people for workers requests, troubles with job or app/pay.",5,3,5,pay peak timebonus payhours chill staff,former amazon warehouse employee,0.0,neutral
58,2025-02-25T00:00:00.000Z,0,0,2,FREELANCE,Former employees,False,False,,,,5,5,5,5,Good income,Amazon Fulfillment Center,,,"San Francisco, CA",Seller,,Flexible schedule adjust your time,Too much competition sometimes you gotta lower your prices so much to get more deal but not good profit,5,5,5,flexible schedule adjust time,good income,0.7,positive
59,2025-02-25T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,POSITIVE,APPROVE,POSITIVE,5,5,5,5,Best place to work,Amazon Fulfillment Center,,,"Swindon, Wiltshire, South West England, England",AA(Amazon Associate),,"Good working environment
Good pay",Heavy lifting . Sometimes can be stressful,5,5,5,good working environment good pay,best place work,1.0,positive
60,2025-02-21T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,3,0,Picker Pay,Amazon Fulfillment Center,,,"Fort Wayne, IN",Picker,,It is the easiest job I ever had.,They can get rid of you whenever they want.,0,0,0,easiest job ever,picker pay,0.0,neutral
61,2025-02-21T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,,,,5,5,5,4,Super expérience,Amazon Fulfillment Center,,,Orléans,HRA,,"Très bonne école
salaires généreux et CB avantageux","demande un investissement personnel important,",5,5,5,très bonne école salaires généreux et cb avantageux,super expérience,0.3333333333333333,positive
62,2025-02-19T00:00:00.000Z,0,0,1,CONTRACT,"Former employee, less than 1 year",False,False,NEGATIVE,,POSITIVE,1,2,1,2,Befristet für 4 Monate,Amazon Fulfillment Center,,,"Koblenz, Rhineland-Palatinate",,Ehrliche Security Mitarbeiter anstellen,Angemessen bezahlt und es gibt kein Dresscode bis auf Stahlkappenschuhe Verbot,"Die Security nervt ( ich weiß jemand von denen hat einen Sender ) von dem Magnet Tor wo man rein und raus geht 🤔.... 
Das Tor hat sogar dann gepiepst als ich 0 % Metal an hatte 😪",3,3,1,angemessen bezahlt und es gibt kein dresscode bis auf stahlkappenschuhe verbot,befristet für 4 monate,0.0,neutral
63,2025-02-18T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,NEUTRAL,APPROVE,POSITIVE,3,3,4,4,Fulfillment worker,Amazon Fulfillment Center,,,"San Antonio, TX",L1 Associate,,#NAME?,#NAME?,4,3,4,name,fulfillment worker,0.0,neutral
64,2025-02-18T00:00:00.000Z,0,0,9,REGULAR,Current employees,False,False,POSITIVE,NO_OPINION,POSITIVE,4,3,4,3,Senior Program Manager | Lean Methodologies | Learning &amp; Quality Excellence | Driving Operational Efficiency,Amazon Fulfillment Center,,,"Carrollton, TX",Sr Program Manager,"Trust your team to get the job done, and reward them when they do. ","Growth &amp; Development
Relationships
Innovation
Fun
The Actual Work is Awesome",The cons are the same as they would be at any job.,3,3,2,growth amp development relationships innovation fun actual work awesome,senior program manager lean methodologies learning amp quality excellence driving operational efficiency,0.0,neutral
65,2025-02-18T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,5,0,Good,Amazon Fulfillment Center,,,"Brampton, ON",Warehouse Associate,,"Good benefits 
Environment
Team work 
Great pay",I don’t think there is any downside,0,0,0,good benefits environment team work great pay,good,0.7,positive
